,wer_score
135,2.857142857142857
136,0.7083333333333334
137,0.8
138,0.23684210526315788
139,0.35294117647058826
140,0.6818181818181818
141,5.333333333333333
142,3.1333333333333333
143,0.3076923076923077
144,1.0869565217391304
145,1.6
146,2.357142857142857
147,0.9090909090909091
148,1.7619047619047619
149,2.8
150,0.6666666666666666
151,0.4
152,1.5333333333333334
153,1.7857142857142858
154,2.588235294117647
155,3.2142857142857144
156,2.769230769230769
157,1.5555555555555556
158,1.5
159,0.5757575757575758
160,0.4
161,1.5454545454545454
162,0.9411764705882353
163,0.8235294117647058
164,0.45
165,2.642857142857143
166,1.75
167,1.7647058823529411
168,0.5333333333333333
169,0.35294117647058826
170,1.0
171,1.4705882352941178
172,1.64
173,0.2608695652173913
174,0.8333333333333334
175,0.047619047619047616
176,0.4375
177,0.7647058823529411
178,1.8333333333333333
179,1.0555555555555556
180,2.217391304347826
181,0.9375
182,1.3529411764705883
183,1.25
184,2.5
185,2.823529411764706
186,0.35294117647058826
187,3.25
188,2.5625
189,2.8823529411764706
190,2.608695652173913
191,3.7333333333333334
192,2.4444444444444446
193,3.6923076923076925
194,3.0
195,3.3333333333333335
196,3.0
197,0.5294117647058824
198,1.0
199,2.3333333333333335
200,1.6428571428571428
201,1.3529411764705883
202,0.1
203,0.0625
204,0.9333333333333333
205,2.1176470588235294
206,1.3333333333333333
207,1.9523809523809523
208,0.52
209,0.08333333333333333
210,1.6363636363636365
211,0.7647058823529411
212,0.6666666666666666
213,2.5
214,1.8518518518518519
215,1.7
216,0.5416666666666666
217,2.2941176470588234
218,1.8181818181818181
219,4.066666666666666
220,0.2
221,0.5714285714285714
222,0.13636363636363635
223,1.36
224,0.875
225,1.2916666666666667
226,1.1304347826086956
227,0.05128205128205128
228,0.1111111111111111
229,0.47058823529411764
230,3.235294117647059
231,3.0
232,2.1875
233,1.736842105263158
234,2.5
235,3.2142857142857144
236,2.6666666666666665
237,1.8076923076923077
238,1.9444444444444444
239,2.0555555555555554
240,3.1666666666666665
241,1.3333333333333333
242,1.0
243,0.5384615384615384
244,0.8666666666666667
245,0.7619047619047619
246,0.16666666666666666
247,2.0
248,0.75
249,1.5555555555555556
250,0.19047619047619047
251,1.2380952380952381
252,3.4285714285714284
253,1.1428571428571428
254,1.6111111111111112
255,2.923076923076923
256,0.7777777777777778
257,0.5
258,2.1
259,0.09523809523809523
260,2.3333333333333335
261,1.0
262,0.6363636363636364
263,0.15
264,3.642857142857143
265,2.263157894736842
266,2.857142857142857
267,4.384615384615385
268,4.153846153846154
269,1.3846153846153846
270,0.5666666666666667
271,0.5625
272,1.3333333333333333
273,1.6296296296296295
274,1.6153846153846154
275,1.2424242424242424
276,3.75
277,1.0
278,0.75
279,6.875
280,2.55
281,0.07692307692307693
282,0.45454545454545453
283,1.7222222222222223
284,0.6666666666666666
285,3.8181818181818183
286,0.9090909090909091
287,0.4230769230769231
288,0.5
289,0.42857142857142855
290,2.5714285714285716
291,4.428571428571429
292,2.6470588235294117
293,4.0
294,5.222222222222222
295,4.230769230769231
296,2.1739130434782608
297,5.777777777777778
298,1.5333333333333334
299,2.0
300,5.5
301,4.363636363636363
302,2.238095238095238
303,2.6
304,2.8823529411764706
305,1.7037037037037037
306,1.0588235294117647
307,0.85
308,0.7307692307692307
309,0.3333333333333333
310,0.0
311,0.0
312,0.9166666666666666
313,0.8275862068965517
314,1.3214285714285714
315,0.7105263157894737
316,1.2857142857142858
317,1.0
318,0.19047619047619047
319,0.8947368421052632
320,1.5384615384615385
321,2.0
322,0.7142857142857143
323,0.11764705882352941
324,4.6
325,1.0
326,1.1875
327,1.32
328,0.7222222222222222
329,7.5
330,0.12244897959183673
331,1.2962962962962963
332,2.0
333,2.5555555555555554
334,0.16666666666666666
335,0.2
336,0.7368421052631579
337,0.625
338,1.65
339,0.95
340,0.0
341,0.72
342,0.8571428571428571
343,0.8333333333333334
344,2.0
345,2.473684210526316
346,0.65
347,0.05263157894736842
348,1.21875
349,1.0
350,0.25806451612903225
351,1.53125
352,0.9629629629629629
353,1.7727272727272727
354,3.6
355,3.076923076923077
356,1.7647058823529411
357,1.0363636363636364
358,0.8378378378378378
359,0.7
360,2.2083333333333335
361,1.7142857142857142
362,2.0434782608695654
363,1.1904761904761905
364,1.7692307692307692
365,0.9629629629629629
366,1.8571428571428572
367,1.9090909090909092
368,1.8636363636363635
369,2.7058823529411766
370,5.555555555555555
371,2.8823529411764706
372,3.1875
373,2.5555555555555554
374,2.0
375,1.6842105263157894
376,0.7407407407407407
377,1.0
378,0.8928571428571429
379,1.4583333333333333
380,2.4285714285714284
381,0.9354838709677419
382,2.3043478260869565
383,1.8214285714285714
384,1.8333333333333333
385,1.92
386,1.6451612903225807
387,1.5
388,2.6875
389,2.2777777777777777
390,3.111111111111111
391,3.9285714285714284
392,4.5
393,0.0
394,0.5384615384615384
395,1.3888888888888888
396,1.3571428571428572
397,2.238095238095238
398,1.4666666666666666
399,3.6153846153846154
