,wer
950,0.8888888888888888
951,2.6923076923076925
952,2.466666666666667
953,3.8
954,2.375
955,2.111111111111111
956,2.0
957,2.764705882352941
958,2.8
959,0.90625
960,0.8461538461538461
961,0.6785714285714286
962,2.764705882352941
963,1.0
964,0.9411764705882353
965,1.0952380952380953
966,3.0
967,0.42857142857142855
968,0.7333333333333333
969,1.8823529411764706
970,1.7647058823529411
971,1.875
972,5.75
973,2.3076923076923075
974,1.0
975,0.6666666666666666
976,0.8125
977,0.7058823529411765
978,1.4
979,0.7647058823529411
980,2.15
981,1.3333333333333333
982,2.388888888888889
983,2.8125
984,2.0869565217391304
985,2.4285714285714284
986,1.625
987,1.4838709677419355
988,1.3636363636363635
989,1.64
990,1.0
991,2.3333333333333335
992,2.210526315789474
993,2.3125
994,1.9166666666666667
995,0.7878787878787878
996,1.0
997,1.0
998,1.0
999,1.1666666666666667
1000,1.1818181818181819
1001,0.7916666666666666
1002,1.0
1003,1.3
1004,4.444444444444445
1005,1.4444444444444444
1006,1.3
1007,1.3
1008,0.8
1009,2.111111111111111
1010,1.7
1011,2.3684210526315788
1012,2.272727272727273
1013,1.9565217391304348
1014,0.8235294117647058
1015,2.933333333333333
1016,2.0
1017,2.6875
1018,0.8
1019,2.764705882352941
1020,2.090909090909091
1021,4.166666666666667
1022,3.3333333333333335
1023,1.3157894736842106
1024,1.7857142857142858
1025,1.5789473684210527
1026,3.090909090909091
1027,1.6363636363636365
1028,4.166666666666667
1029,0.0
1030,2.066666666666667
1031,0.8461538461538461
1032,0.75
1033,1.0
1034,1.3571428571428572
1035,0.0
1036,0.7
1037,0.0
1038,0.058823529411764705
1039,0.3181818181818182
1040,0.4583333333333333
1041,0.11764705882352941
1042,0.0
1043,0.14285714285714285
1044,1.0
1045,1.0
1046,1.0
1047,1.0
1048,1.0
1049,1.0
1050,1.0
1051,1.0
1052,1.0
1053,1.0
1054,1.0
1055,1.0
1056,1.0
1057,2.7
1058,1.2413793103448276
1059,2.7333333333333334
1060,2.4545454545454546
1061,1.0714285714285714
1062,0.1875
1063,4.888888888888889
1064,0.6428571428571429
1065,1.95
1066,1.0588235294117647
1067,1.0
1068,0.2631578947368421
1069,0.5217391304347826
1070,0.0
1071,0.6818181818181818
1072,1.4736842105263157
1073,1.608695652173913
1074,2.764705882352941
1075,0.17647058823529413
